Video ID,Title,Comment
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,Dude that looks like a vintage 1991 model concept vehicle that never made it
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,I feel like master chief is gonna come out of that thing to “finish this job”
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,The glass done it’s job
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,Ugly AF and I guarantee you it will never go into mass production.
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,It's a truck? Where the bed?
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,What a joke
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,Take the cybertruck for racing in dakar. Replace the hood and roof to solar panels... reganerator built in and lets go and kick ass
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,That is the ugliest thing I have ever seen
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,"This presentation was soo bad, it’s like a 5th grader that wasn’t prepared !"
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,It like a truck that can go to mars and the moon
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,07:56 😂🎇
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,"I dunno, I suppose it could grow on me."
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,We driving on the moon with this shit or what
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,Looks like garbage
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,This guy wants everything space like
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,"What a jerk. Both windows were destroyed? Both of them? Such a mishap, huh? Funny, right? Bullshit! He made that on purpose. Gee, I hate this clown. But somehow people buy his crap - unbelievable.
I don't even comment the look of this... something - no need to say anything."
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,This looks like shit. Ugly Fucken rubbish.
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,"Elon Tucker? Yeah that’s where this atrocity of car design will go.. he’s playing a joke. The metal seams and door seams
Don’t line up, the metal is different shades, the body shape looks like it was fabricated in a home garage as there’s no contours or curves. He’s probably trying to work up to a government military contract for vehicles. Hey Elon, get a real job!!"
